Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
KDP,9/1/15,9/30/15,1,2.04,USD,US,,,,,B008RH5IUK,70%,Standard,2.99,,,2.04,"Run, River Currents",Ginger Marcinkowski,
KDP,9/1/15,9/30/15,1,0.35,USD,US,,,,,B008RPSD0Y,35%,Standard,0.99,,,0.35,One Week,Nikki Van De Car,
KDP,9/1/15,9/30/15,65,0.32953344,USD,US,,,,,B008RSGGMI,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,0.32953344,Joe Vampire,Steven Luna,
KDP,9/1/15,9/30/15,3,18.73,USD,US,,,,,B008V3W0HY,70%,Standard,9.17,,,18.73,Strategic Sales Presentations,Jack Malcolm,
KDP,9/1/15,9/30/15,621,3.14831178,USD,US,,,,,B008V3W0HY,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,3.14831178,Strategic Sales Presentations,Jack Malcolm,
KDP,9/1/15,9/30/15,1,1.78,USD,US,,,,,B008YL7LPO,70%,Standard,2.99,,,1.78,Dead Birds Fall from the Sky,Stephan Cox,
KDP,9/1/15,9/30/15,1,2.74,USD,US,,,,,B009177NKI,70%,Standard,3.99,,,2.74,The Chosen,Shay West,
KDP,9/1/15,9/30/15,1,2.04,USD,US,,,,,B009D6JCWO,70%,Standard,2.99,,,2.04,Always and Forever,Karla J. Nellenbach,
KDP,9/1/15,9/30/15,2,5.46,USD,US,,,,,B009PG36DI,70%,Standard,3.99,,,5.46,Billy Purgatory and the Curse of the Satanic Five,Jesse James Freeman,
KDP,9/1/15,9/30/15,1,2.04,USD,US,,,,,B009RV2402,70%,Standard,2.99,,,2.04,Summer Melody,Toddie Downs,
KDP,9/1/15,9/30/15,1,3.44,USD,US,,,,,B009WYLJ3W,70%,Standard,4.99,,,3.44,The Dead Boy's Legacy,Cassius Shuman,
KDP,9/1/15,9/30/15,3,8.22,USD,US,,,,,B009YN22GE,70%,Standard,3.99,,,8.22,Scars from a Memoir (Young Adult Edition),Marni Mann,
KDP,9/1/15,9/30/15,1,5.52,USD,US,,,,,B00AAMJOR8,70%,Standard,7.95,,,5.52,Ink Spots,Brian McDonald,
KDP,9/1/15,9/30/15,1,0,USD,US,,,,,B00AAMJOR8,70% - promo,Kindle MatchBook,7.95,,,0,Ink Spots,Brian McDonald,
KDP,9/1/15,9/30/15,5,33.65,USD,US,,,,,B00AFJGMYO,70%,Standard,9.95,,,33.65,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman,
KDP,9/1/15,9/30/15,1,0,USD,US,,,,,B00AFJGMYO,70% - promo,Kindle MatchBook,9.95,,,0,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman,
KDP,9/1/15,9/30/15,2,5.32,USD,US,,,,,B00ATIK0WG,70%,Standard,4.99,,,5.32,Princesses can be Pirates Too!,Christi Zellerhoff,
KDP,9/1/15,9/30/15,2,7.94,USD,US,,,,,B00AV877N4,70%,Standard,5.99,,,7.94,Fiery Hearts Collection,Heather Huffman,
