wp_id,attachment_id,fieldname,url
40783,41054,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Trapped-x-for-kindle.docx
40778,41282,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/GoddessofSuburbiaBooktrope41.doc
40763,41426,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/WaspNest_LynEckfeldt1.docx
40759,41327,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/ChocolateSoakedDestiny.docx
40755,43066,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Faiths-Temptation-CS1.doc
40746,41745,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Acquiring-Hearts-Booktrope.docx
40746,42615,book_stock_cover_image,https://teamtrope.com/wp-content/uploads/2015/04/Acquiring-Hearts.zip
40746,42079,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/acquiring-hearts.jpg
40741,41675,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/DragonChildoftheGypsys.docx
40741,43410,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/05/DragonChild_scales_bigtext.jpg
40738,40953,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/The-Dragon-and-the-FaerieV2.docx
40494,40773,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/PandoraModern.docx
40422,41730,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/10968278_1565435460392649_340251851_n.jpg
40420,41732,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/914_0.050367001429314348_stolen-mock_2.jpg
40413,41102,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Chasing-Freedom-BT.doc
40406,44266,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/05/SON_Girl_v3-FINAL.jpg
40389,41017,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Unchosen-Createspace.docx
40387,41110,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/KIA_Unrequited-CSP_Size_Fix-05-19-14-2.docx
40383,41115,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Unmarked-CSP_Size_Fix-12-01-14.docx
40380,42215,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Tainted-Love_Booktrope_edition.docx
40380,44196,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/05/Tainted-Love-Final-Proof.docx
40377,42217,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Blurred-Lines_Booktrope.doc
40374,41073,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Dark-Prophet-for-CreateSpace-MD-Proofed-Version1.doc
40374,41079,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/04/Dark-Prophet-for-CreateSpace-MD-Proofed-Version.doc
40374,43332,book_manuscript_proofed,https://teamtrope.com/wp-content/uploads/2015/05/Dark-Prophet-MD-Proofed-Formatted.docx
40188,40226,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/CRYSTALLUM-by-Laney-McMann.doc
40185,40326,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/True-For-Booktrope.docx
40178,40598,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/A-Rebel-Among-Us-6-x-91.doc
40176,43082,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Kolea-The-Novel-Autosaved-43.docx
39889,42952,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Sky-Watcher-Combined.doc
39536,40156,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/STRIDENTHOUSE_Original_Manuscript.docx
39449,43518,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/05/Jasmine.docx
39447,39778,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/In-the-Beginning-Smashwords.doc
39444,39903,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/EditedDaddysBoy1.docx
39436,43660,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/05/Heir-of-Dragons-manuscript.doc
39421,41210,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Becoming.docx
39419,39643,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/KDalferes_IWILWASMO_Interior.docx
39419,39646,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/04/KDalferes_IWILWASMO_Interior.docx
39419,40974,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/KDalferes_IWILWASMO_SCover.pdf-01.jpg
39418,39845,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Salvage1.docx
39418,39843,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/Salvageformattedprint2.jpg
39386,39958,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/comesit61.doc
39386,43679,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/05/comesit7.doc
39381,39464,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/The-Red-Fang-Draft.doc
39381,43785,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/05/The-Red-Fang-Draft-Edited-2.doc
38483,38536,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Deceit-Smashwords1.doc
38483,43506,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/05/Deceit-Rebecca-Clark.jpg
38417,43512,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/05/CreateSpace-Thunderstorm.doc
38409,38669,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Warrant-Final.docx
38409,39831,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/04/641_0.787229001428078989_warrant-proofread.docx
38409,39833,book_manuscript_proofed,https://teamtrope.com/wp-content/uploads/2015/04/641_0.787229001428078989_warrant-proofread.docx
38409,41993,book_layout_upload,https://teamtrope.com/wp-content/uploads/2015/04/warrant.pdf
38409,40216,book_stock_cover_image,https://teamtrope.com/wp-content/uploads/2015/03/Warrant.zip
38409,39352,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/Warrant-mock-up-cover-1.jpg
38409,42752,book_ebook_front_cover,https://teamtrope.com/wp-content/uploads/2015/04/Warrant-final-ebook1.jpg
38409,42753,book_createspace_cover,https://teamtrope.com/wp-content/uploads/2015/04/Warrant-final-cover-createspace1.pdf
38409,42754,book_lightning_source_cover,https://teamtrope.com/wp-content/uploads/2015/04/9781620159521-cov.pdf
38409,42755,book_alternative_cover_template,https://teamtrope.com/wp-content/uploads/2015/04/
38409,42041,book_final_manuscript_pdf,https://teamtrope.com/wp-content/uploads/2015/04/warrant-04.22.15.pdf
38409,43000,book_final_mobi,https://teamtrope.com/wp-content/uploads/2015/04/warrant.mobi
38409,43001,book_final_epub,https://teamtrope.com/wp-content/uploads/2015/04/warrant.epub
38409,43002,book_final_pdf,https://teamtrope.com/wp-content/uploads/2015/04/9781620159521_txt.pdf
38288,38298,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Brainstorm2015.docx
38156,38430,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Taming-Her-edited-version.docx
38154,38244,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/cloud-9-black-eyed-demon-booktrope-submission.doc
38151,38246,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Cloud-9-Book-2-after-first-full-edit-booktrope-submission.doc
38149,38251,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Sevenfold-2014booktrope-submission.doc
38147,38255,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/A-harbingers-Tale-re-editted-2014booktrope-submission.doc
38145,38257,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/booktrope-submissionThis-little-demon.docx
38141,38261,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/This-Little-Demon-book2kindle-copy-book-two-tldbooktrope-submission.docx
38138,38263,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/THis-Little-Demon-book-3-Booktrope-Submission.docx
38135,38265,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Three-Days-wihtout-GraceBooktrope-submission.docx
38126,38296,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/20136509_Final-BT-Working-Book-Copy-AODC-Mar-14.docx
38126,38359,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/03/20136509_Final-BT-Working-Book-Copy-AODC-Mar-14.docx
38126,44226,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/05/AODC_comp7.jpg
38124,40541,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/broken-road.jpg
38114,42816,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/To-Our-Waking-Souls-Persun-FullMs.doc
38112,39704,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/shadow-dancer-createspace-1.docx
38112,38259,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/03/Resized-YTJLX.jpg
38107,38253,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Sally-Singletarys-Discovery.Final.docx
38107,43852,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/05/IMG_1763.jpg
38101,38291,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Tears-of-Destiny-BETA-Copy.docx
38101,43803,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/05/IMG_1827.JPG
38100,39837,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Dark-Dangerous-Delicious-Volume-3-Beware-the-Night.docx
37709,37747,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Dragons-Future.doc
37709,44132,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/05/Dragons-Future-final-edits-Lepre_050415.docx
37570,37612,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/The-Next-Step-All-r4-v2.5.docx
37567,39737,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/SuddenMission-4-4-15.doc
37564,37645,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Home-no-more-submisson.docx
37564,37655,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/03/Home-no-more-submisson.docx
37564,42072,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/home-no-more.jpg
37561,41176,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/Damnable-Legacy-04-16-15.doc
37561,41579,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/04/Damnable-Legacy-04-16-15.doc
37559,42570,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/04/ReachForJoy_4_26_15.docx
37557,38653,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Jennas-Journey.doc
37557,37727,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/03/Jennas-journey-251x380.jpg
37335,37683,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/black-horse-arc-sec-edition.docx
37335,40638,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/04/black-horse-arc-sec-edition_edits-done.docx
37335,42305,book_manuscript_proofed,https://teamtrope.com/wp-content/uploads/2015/04/Black-Horse-Final-Proof_Complete.doc
37335,42371,book_stock_cover_image,https://teamtrope.com/wp-content/uploads/2015/03/Black-Horse.zip
37335,37685,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/03/new-black-horse_2.jpg
37249,37258,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Newbie_2015.docx
37249,37262,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/03/Newbie_2015.docx
37240,37937,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/EDITED-AND-READY-FOR-FORMATTING.docx
37240,41857,book_cover_concept,https://teamtrope.com/wp-content/uploads/2015/04/Overexposed_Ebook_cover.jpg
37239,37935,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/TheBillionaireTheBarfly_AdrianneJames-AMAZON.doc
37211,37276,book_manuscript_original,https://teamtrope.com/wp-content/uploads/2015/03/Rydin-the-Storm-Out-FINAL.docx
37211,37279,book_manuscript_edited,https://teamtrope.com/wp-content/uploads/2015/03/Rydin-the-Storm-Out-FINAL.docx
37211,39320,book_manuscript_proofed,https://teamtrope.com/wp-content/uploads/2015/04/368_0.647976001427930086_rydin-the-storm-out-proof-lj-Changes-accepted.docx
37211,42252,book_layout_upload,https://teamtrope.com/wp-content/uploads/2015/04/rydinthestormout-vcw-042315.pdf
37211,43125,book_stock_cover_image,https://teamtrope.com/wp-content/uploads/2015/03/Rydin-the-Storm-Out.zip
