Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,4/1/15,4/30/15,67,92.37,USD,United States,,,,,B00OA9GDDA,,KINDLE,,,,92.37,Tess Thompson,Tea and Primroses
Kindle,4/1/15,4/30/15,376,317.37,EUR,Germany,,,,,B004WDRYVE,,KU,,,,350.0083308,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
Kindle,4/1/15,4/30/15,35,29.54,EUR,Germany,,,,,B004WDRYVE,,KOLL,,,,32.5778936,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
Kindle,4/1/15,4/30/15,211,178.1,EUR,Germany,,,,,B004WDRYVE,,KINDLE,,,,196.415804,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
Kindle,4/1/15,4/30/15,2,1.49,EUR,Germany,,,,,B004WDRYVE,,Amazon Website,,,,1.6432316,Tess Thompson,Riversong - Sales in Germany (NOT ENCORE)
Encore,4/1/15,4/30/15,137,189.73,USD,United States,,,,,B00OA9GE3E,,KU,,,,189.73,Tess Thompson,Caramel and Magnolias
Encore,4/1/15,4/30/15,13,18,USD,United States,,,,,B00OA9GE3E,,KOLL,,,,18,Tess Thompson,Caramel and Magnolias
Encore,4/1/15,4/30/15,68,94.17,USD,United States,,,,,B00OA9GE3E,,KINDLE,,,,94.17,Tess Thompson,Caramel and Magnolias
Encore,4/1/15,4/30/15,1,1.45,USD,Canada,,,,,B00OA9GE3E,,KU,,,,1.45,Tess Thompson,Caramel and Magnolias
Encore,4/1/15,4/30/15,1,1.19,EUR,Germany,,,,,B00OA9GE3E,,KINDLE,,,,1.3123796,Tess Thompson,Caramel and Magnolias
Encore,4/1/15,4/30/15,7,8.8,USD,United States,,,,,B00U9WWU5W,,KU,,,,8.8,Tiffany Pitts,Double Blind
Encore,4/1/15,4/30/15,1,1.26,USD,United States,,,,,B00U9WWU5W,,KINDLE,,,,1.26,Tiffany Pitts,Double Blind
Encore,4/1/15,4/30/15,2,2.04,GBP,United Kingdom,,,,,B00U9WWU5W,,KINDLE,,,,3.1376016,Tiffany Pitts,Double Blind
Encore,4/1/15,4/30/15,203,234.09,USD,United States,,,,,B00OA9GDEY,,KU,,,,234.09,Will North,"Water, Stone, Heart"
Encore,4/1/15,4/30/15,60,69.19,USD,United States,,,,,B00OA9GDEY,,KOLL,,,,69.19,Will North,"Water, Stone, Heart"
Encore,4/1/15,4/30/15,415,478.56,USD,United States,,,,,B00OA9GDEY,,KINDLE,,,,478.56,Will North,"Water, Stone, Heart"
