Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
Oyster,6/1/15,6/30/15,1,2,USD,,,9781620154243,,,,,,3.99,,2,2,Last Impressions,A.J. Aalto,Booktrope Editions
Oyster,6/1/15,6/30/15,2,5,USD,,,9781620154168,,,,,,4.99,,2.5,5,Zeus is Dead,Michael G. Munz,Booktrope Editions
Oyster,6/1/15,6/30/15,1,1.5,USD,,,9781620155981,,,,,,2.99,,1.5,1.5,Dead Girl Walking,Ruth Silver,Booktrope Editions
Oyster,6/1/15,6/30/15,2,4,USD,,,9781620156087,,,,,,3.99,,2,4,How do you Know?,Meredith Schorr,Booktrope Editions
Oyster,6/1/15,6/30/15,1,2,USD,,,9781620156711,,,,,,3.99,,2,2,The Duke I'm Going to Marry,Meara Platt,Booktrope Editions
Oyster,7/1/15,7/31/15,1,1.5,USD,,,9781620150382,,,,,,2.99,,1.5,1.5,Ties That Bind,Heather Huffman,Booktrope Editions
Oyster,7/1/15,7/31/15,23,34.5,USD,,,9781620150337,,,,,,2.99,,1.5,34.5,Memoirs Aren't Fairytales,Marni Mann,Booktrope Editions
Oyster,7/1/15,7/31/15,1,1.5,USD,,,9781620150870,,,,,,2.99,,1.5,1.5,Memoirs Aren't Fairytales (Young Adult Edition),Marni Mann,Booktrope Editions
Oyster,7/1/15,7/31/15,21,31.5,USD,,,9781620152546,,,,,,2.99,,1.5,31.5,Just Friends with Benefits,Meredith Schorr,Booktrope Editions
Oyster,7/1/15,7/31/15,1,2,USD,,,9781620152690,,,,,,3.99,,2,2,The Dark Light of Day,T.M. Frazier,Booktrope Editions
Oyster,7/1/15,7/31/15,1,2.5,USD,,,9781620150016,,,,,,4.99,,2.5,2.5,Invisible Ink,Brian McDonald,Booktrope Editions
Oyster,7/1/15,7/31/15,3,4.5,USD,,,9781620150221,,,,,,2.99,,1.5,4.5,Thank You for Flying Air Zoe,Erik Atwell,Booktrope Editions
Oyster,7/1/15,7/31/15,1,1.5,USD,,,9781620150313,,,,,,2.99,,1.5,1.5,Suddenly a Spy,Heather Huffman,Booktrope Editions
Oyster,7/1/15,7/31/15,2,3,USD,,,9781620150344,,,,,,2.99,,1.5,3,Jailbird,Heather Huffman,Booktrope Editions
Oyster,7/1/15,7/31/15,5,2.5,USD,,,9781620150467,,,,,,0.99,,0.5,2.5,Tumbleweed,Heather Huffman,Booktrope Editions
Oyster,7/1/15,7/31/15,1,2,USD,,,9781620152492,,,,,,3.99,,2,2,The Summer of Long Knives,Jim Snowden,Booktrope Editions
Oyster,7/1/15,7/31/15,8,16,USD,,,9781620150689,,,,,,3.99,,2,16,Scars from a Memoir,Marni Mann,Booktrope Editions
Oyster,7/1/15,7/31/15,3,6,USD,,,9781620150948,,,,,,3.99,,2,6,Scars from a Memoir (Young Adult Edition),Marni Mann,Booktrope Editions
Oyster,7/1/15,7/31/15,1,4.5,USD,,,9781620150931,,,,,,8.99,,4.5,4.5,The Art of Selling Real Estate,Patricia Cliff,Booktrope Editions
Oyster,7/1/15,7/31/15,1,2,USD,,,9781620150894,,,,,,3.99,,2,2,Habits,Night,Booktrope Editions
Oyster,7/1/15,7/31/15,1,3.5,USD,,,9781620153628,,,,,,6.99,,3.5,3.5,Memoirs Collection,Marni Mann,Booktrope Editions
Oyster,7/1/15,7/31/15,1,2,USD,,,9781620152652,,,,,,3.99,,2,2,Seasons' End,"North, Will",Booktrope Editions
Oyster,7/1/15,7/31/15,2,5,USD,,,9781620154168,,,,,,4.99,,2.5,5,Zeus is Dead,Michael G. Munz,Booktrope Editions
Oyster,7/1/15,7/31/15,4,8,USD,,,9781620156087,,,,,,3.99,,2,8,How do you Know?,Meredith Schorr,Booktrope Editions
Oyster,7/1/15,7/31/15,3,6,USD,,,9781620156711,,,,,,3.99,,2,6,The Duke I'm Going to Marry,Meara Platt,Booktrope Editions
