Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],TITLE,AUTHOR,RETAILER,PERIOD
Inscribe,6/1/15,,1,3.859,USD,United States of America,,9781620154885,,,,,,6.99,,,3.859,What I Really Learned in College,Addison Winters,3M Retail Sales USA,P06 15 (Jun 15)
Inscribe,6/1/15,,1,2.55,USD,"Australia, Commonwealth of",,9781620152416,,,,,,5.99,,,2.55,Seductive Shadows,Marni Mann,OverDrive Download Retail Sales USA,P06 15 (Jun 15)
Inscribe,7/1/15,,1,3.4,USD,United States of America,,9781620154113,,,,,,7.99,,,3.4,Along the Wheel of Time: Sacred Stories for Nature Lovers,Judith Laxer,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,3,10.2,USD,United States of America,,9781620155646,,,,,,7.99,,,10.2,Blue Moon Vegan,Paula Marie Coomer,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,United States of America,,9781620156599,,,,,,6.99,,,2.975,Chasing Ravens,Jessica E. Paige,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,Canada,,9781620155301,,,,,,6.99,,,2.975,Crazy Little Thing Called Matchmaking,Maggie Van Well,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,2,2.55,USD,United States of America,,9781620156827,,,,,,2.99,,,2.55,Death of a Tango Dancer,Lisa Fernow,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,3,8.925,USD,United States of America,,9781620157404,,,,,,6.99,,,8.925,Duet for Three Hands,Tess Thompson,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,New Zealand,,9781620157817,,,,,,6.99,,,2.975,Fall of Knight,Steven Cross,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,United States of America,,9781620157817,,,,,,6.99,,,2.975,Fall of Knight,Steven Cross,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,2,5.1,USD,United States of America,,9781620157350,,,,,,5.99,,,5.1,Granted Wishes,Tanya Vought,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,5,17,USD,United States of America,,9781620153093,,,,,,7.99,,,17,Harm None,Will North,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,3.4,USD,United Kingdom of Great Britain and N. Ireland,,9781620155721,,,,,,7.99,,,3.4,Misadventures of Princess Sydney,Chris Minich,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,3.4,USD,"Australia, Commonwealth of",,9781620157060,,,,,,7.99,,,3.4,Mission Veritas,John Murphy,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,3.4,USD,United States of America,,9781620156308,,,,,,7.99,,,3.4,Mr. 8,David J. Thirteen,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.55,USD,United States of America,,9781620155158,,,,,,5.99,,,2.55,My Fair Lily,Meara Platt,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,1.7,USD,United States of America,,9781620157855,,,,,,3.99,,,1.7,Nowhere Train,Allie Burke,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,United States of America,,9781620156339,,,,,,6.99,,,2.975,Out from Under,"Dee Middleton-Taylor, Melanie Donithan, Suzanne Curry",OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,United States of America,,9781620157732,,,,,,6.99,,,2.975,Rachel's Folly,Monica Bruno,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,2,5.1,USD,United States of America,,9781620150436,,,,,,5.99,,,5.1,Ring of Fire,Heather Huffman,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,United States of America,,9781620157749,,,,,,6.99,,,2.975,Roses are Red...Violet is Dead,Monica-Marie Vincent,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.975,USD,United States of America,,9781620152652,,,,,,6.99,,,2.975,Seasons' End,Will North,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.55,USD,United States of America,,9781620156438,,,,,,5.99,,,2.55,That's a Lie,Victoria Klahr,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,3,7.65,USD,United States of America,,9781620150283,,,,,,5.99,,,7.65,Throwaway,Heather Huffman,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,1,2.55,USD,United States of America,,9781620153147,,,,,,5.99,,,2.55,What Echoes Render,Tamsen Schultz,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,7/1/15,,2,5.95,USD,United States of America,,9781620157329,,,,,,6.99,,,5.95,The Daring Assignment,Victoria Bright,OverDrive Download Retail Sales USA,P07 15 (Jul 15)
Inscribe,5/1/15,,1,2.975,USD,Canada,,9781620156599,,,,,,6.99,,,2.975,Chasing Ravens,Jessica E. Paige,OverDrive Download Retail Sales USA,P05 15 (May 15)
Inscribe,5/1/15,,1,3.4,USD,Canada,,9781620156001,,,,,,7.99,,,3.4,City of Illusions,Judith Works,OverDrive Download Retail Sales USA,P05 15 (May 15)
