Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date,9/30/15
Encore,9/1/15,,1,1.33,USD,Australia,,,,,B00OA9GDDK,,Standard,,,,1.33,The Long Walk Home,Will North,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KU,,,,1.5467688,The Long Walk Home,Will North,,,1.51644
Encore,9/1/15,,3,3.06,GBP,United Kingdom,,,,,B00OA9GDDK,,Standard,,,,4.6403064,The Long Walk Home,Will North,,,1.51644
Encore,9/1/15,,150,77.03,EUR,Germany,,,,,B004WDRYVE,,KU,,,,86.6063696,Riversong,Tess Thompson,,,1.12432
Encore,9/1/15,,816,419.04,EUR,Germany,,,,,B004WDRYVE,,Standard,,,,471.1350528,Riversong,Tess Thompson,,,1.12432
Encore,9/1/15,,24,12.32,EUR,Germany,,,,,B004WDRYVE,,KOLL,,,,13.8516224,Riversong,Tess Thompson,,,1.12432
Encore,9/1/15,,3,2.28,USD,United States,,,,,B00OA9GFPQ,,KOLL,,,,2.28,Grace Unexpected,Gale Martin,,,1
Encore,9/1/15,,42,31.88,USD,United States,,,,,B00OA9GFPQ,,Standard,,,,31.88,Grace Unexpected,Gale Martin,,,1
Encore,9/1/15,,32,24.29,USD,United States,,,,,B00OA9GFPQ,,KU,,,,24.29,Grace Unexpected,Gale Martin,,,1
Encore,9/1/15,,45,61.44,USD,United States,,,,,B00OA9GDGM,,Standard,,,,61.44,GOTU,Mike McNeff,,,1
Encore,9/1/15,,48,65.54,USD,United States,,,,,B00OA9GDGM,,KU,,,,65.54,GOTU,Mike McNeff,,,1
Encore,9/1/15,,7,9.56,USD,United States,,,,,B00OA9GDGM,,KOLL,,,,9.56,GOTU,Mike McNeff,,,1
Encore,9/1/15,,1,1.39,USD,Canada,,,,,B00OA9GDGM,,Standard,,,,1.39,GOTU,Mike McNeff,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GDGM,,KU,,,,1.5467688,GOTU,Mike McNeff,,,1.51644
Encore,9/1/15,,32,44.11,USD,United States,,,,,B00OA9GDEO,,KU,,,,44.11,Necessary Retribution,Mike McNeff,,,1
Encore,9/1/15,,40,55.13,USD,United States,,,,,B00OA9GDEO,,Standard,,,,55.13,Necessary Retribution,Mike McNeff,,,1
Encore,9/1/15,,6,8.27,USD,United States,,,,,B00OA9GDEO,,KOLL,,,,8.27,Necessary Retribution,Mike McNeff,,,1
Encore,9/1/15,,1,1.39,USD,Canada,,,,,B00OA9GDEO,,Standard,,,,1.39,Necessary Retribution,Mike McNeff,,,1
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GDEO,,KU,,,,1.5467688,Necessary Retribution,Mike McNeff,,,1.51644
Encore,9/1/15,,1,1.02,GBP,United Kingdom,,,,,B00OA9GDEO,,KOLL,,,,1.5467688,Necessary Retribution,Mike McNeff,,,1.51644
Encore,9/1/15,,2,1.78,USD,United States,,,,,B00OA9GE34,,KU,,,,1.78,The Puppeteer,Tamsen Schultz,,,1
Encore,9/1/15,,7,6.23,USD,United States,,,,,B00OA9GE34,,Standard,,,,6.23,The Puppeteer,Tamsen Schultz,,,1
