Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country, BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (Use),Unit Revenue,Revenue [USD],Title,Author,publisher_imprint,Sale Date
LSI,9/1/15,9/30/15,1,2.78,USD,United States,,,9781513702223,,,,,13.95,,,,Reach for Joy,"Reys, T.L.",Booktrope Editions,
LSI,9/1/15,9/30/15,6,18.96,USD,United States,,,9781513702261,,,,,15.95,,,,Off-World,"Bergan, Jonah",Edge,
LSI,9/1/15,9/30/15,1,2.97,USD,United States,,,9781513702278,,,,,14.95,,,,Hell's Flower,"Schiefer, S.L.",Booktrope Entice,
LSI,9/1/15,9/30/15,1,3,USD,United States,,,9781513702292,,,,,14.95,,,,Goddess of Suburbia,"Kepke, Stephanie",Booktrope Editions,
LSI,9/1/15,9/30/15,21,61.53,USD,United States,,,9781513703213,,,,,16.95,,,,A Wedding at the Paragraph Ranch,"Ellington, Kay",Booktrope Editions,
LSI,9/1/15,9/30/15,1,3.23,USD,United States,,,9781513704012,,,,,17.95,,,,Letter from Hell,"Mendelson, M. Lee",Forsaken,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151150,,,,,14.95,,,,Heart and Sole,"Hinson Neely, Melinda",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151181,,,,,17.95,,,,A Tainted Mind (a Windsor Series Novel),"Schultz, Tamsen",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151242,,,,,9.95,,,,Write Within Yourself: An Author's Companion,"Kenower, William",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151259,,,,,29.95,,,,The Art of Selling Real Estate,"Cliff, Patricia",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151310,,,,,10.95,,,,Haunted,"Maksym, Eileen",Booktrope Editions,
LSI,9/1/15,9/30/15,1,1.5,USD,United States,,,9781620151327,,,,,39.95,,,,Redesigning Education: Shaping Learning Systems Around the Globe,Innovation Unit for Gelp,Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151334,,,,,12.95,,,,A Sliver of Hope,"Nellenbach, Karla J.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,-5.68,USD,United States,,,9781620151341,,,,,14.95,,,,Charis: Journey to Pandora's Jar,"Walters, Nicole y.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151372,,,,,14.95,,,,"Blue Moon Vegetarian: Reflections, Recipes, and Advice for a Plant-Based Diet","Coomer, Paula Marie",Booktrope Editions,
LSI,9/1/15,9/30/15,1,2.96,USD,United States,,,9781620151389,,,,,13.95,,,,Unsettled Spirits,"Weeks, Sophie",Booktrope Editions,
LSI,9/1/15,9/30/15,2,6.46,USD,United States,,,9781620151396,,,,,17.95,,,,No Shelter from Darkness,"Evans, Mark D.",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151419,,,,,16.95,,,,Seducer Fey,"Royson, Cullyn",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151426,,,,,16.95,,,,Riverbend,"Thompson, Tess",Booktrope Editions,
LSI,9/1/15,9/30/15,1,3.07,USD,United States,,,9781620151433,,,,,17.95,,,,Necessary Retribution,"McNeff, Mike",Booktrope Editions,
LSI,9/1/15,9/30/15,0,0,USD,United States,,,9781620151440,,,,,14.95,,,,Country Music's Jim Owen: An Amazing Life (an Unauthorized Autobiography),"Owen, Jim",Booktrope Editions,
