Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,5/1/15,5/31/15,2,5.48,USD,US,,,,,B009YN22GE,70%,Standard,3.99,,,5.48,Scars from a Memoir (Young Adult Edition),Marni Mann
KDP,5/1/15,5/31/15,8,43.15,USD,US,,,,,B00AAMJOR8,70%,Standard,7.77,,,43.15,Ink Spots,Brian McDonald
KDP,5/1/15,5/31/15,4,26.92,USD,US,,,,,B00AFJGMYO,70%,Standard,9.95,,,26.92,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman
KDP,5/1/15,5/31/15,6,13.3,USD,US,,,,,B00ATIK0WG,70%,Standard,4.99,,,13.3,Princesses can be Pirates Too!,Christi Zellerhoff
KDP,5/1/15,5/31/15,10,39.7,USD,US,,,,,B00AV877N4,70%,Standard,5.99,,,39.7,Fiery Hearts Collection,Heather Huffman
KDP,5/1/15,5/31/15,1,2.57,USD,US,,,,,B00AVNS9S6,35%,Standard,7.34,,,2.57,The Art of Selling Real Estate,Patricia Cliff
KDP,5/1/15,5/31/15,19,117.6,USD,US,,,,,B00AVNS9S6,70%,Standard,8.91,,,117.6,The Art of Selling Real Estate,Patricia Cliff
KDP,5/1/15,5/31/15,2,0,USD,US,,,,,B00AVNS9S6,70% - promo,Kindle MatchBook,8.99,,,0,The Art of Selling Real Estate,Patricia Cliff
KDP,5/1/15,5/31/15,3,10.14,USD,US,,,,,B00AZM9KIQ,70%,Standard,4.99,,,10.14,Let the Dogs Speak! Puppies in Training Tell the Story of Canine Companions for IndependenceÂ®,Marianne McKiernan
KDP,5/1/15,5/31/15,1,2.06,USD,US,,,,,B00B2DTDLG,70%,Standard,2.99,,,2.06,Freeman - A Novella in Screenplay Form,Brian McDonald
KDP,5/1/15,5/31/15,1,1.05,USD,US,,,,,B00B7OVK9I,35%,Standard,2.99,,,1.05,Joe Vampire: The Afterlife,Steven Luna
KDP,5/1/15,5/31/15,10,20.45,USD,US,,,,,B00B7OVK9I,70%,Standard,3,,,20.45,Joe Vampire: The Afterlife,Steven Luna
KDP,5/1/15,5/31/15,5,6.74043615,USD,US,,,,,B00B7OVK9I,N/A,KU/KOLL Units,N/A,,,6.74043615,Joe Vampire: The Afterlife,Steven Luna
KDP,5/1/15,5/31/15,5,10.33,USD,US,,,,,B00B8XY8FG,70%,Standard,3.01,,,10.33,Roses in Ecuador,Heather Huffman
KDP,5/1/15,5/31/15,1,1.05,USD,US,,,,,B00BD9HLAY,35%,Standard,2.99,,,1.05,The Romance of Grace,Jim McNeely III
KDP,5/1/15,5/31/15,10,20.4,USD,US,,,,,B00BD9HLAY,70%,Standard,2.99,,,20.4,The Romance of Grace,Jim McNeely III
KDP,5/1/15,5/31/15,1,4.82,USD,US,,,,,B00BLS5E2Y,70%,Standard,6.99,,,4.82,The Water Sign,C.S. Samulski
KDP,5/1/15,5/31/15,1,3.32,USD,US,,,,,B00BM9SERY,70%,Standard,4.99,,,3.32,"Heart and Sole: How 26 Ran A Marathon (And You Can, Too)",Melinda Hinson Neely
KDP,5/1/15,5/31/15,1,5.54,USD,US,,,,,B00BPD5M8G,70%,Standard,7.95,,,5.54,Write Within Yourself: An Author's Companion,William Kenower
KDP,5/1/15,5/31/15,1,0,USD,US,,,,,B00BPD5M8G,70% - promo,Kindle MatchBook,7.95,,,0,Write Within Yourself: An Author's Companion,William Kenower
KDP,5/1/15,5/31/15,6,12.24,USD,US,,,,,B00BR1L8I4,70%,Standard,2.99,,,12.24,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood
KDP,5/1/15,5/31/15,2,4.1,USD,US,,,,,B00C1JN6D6,70%,Standard,2.99,,,4.1,A Sliver of Hope,Karla J. Nellenbach
KDP,5/1/15,5/31/15,4,13.56,USD,US,,,,,B00CHO4AW6,70%,Standard,4.99,,,13.56,Suitcase Filled with Nails: Lessons Learned from Teaching Art in Kuwait,Yvonne Wakefield
KDP,5/1/15,5/31/15,113,306.35,USD,US,,,,,B00CLDQT2W,70%,Standard,3.95,,,306.35,Riverbend,Tess Thompson
KDP,5/1/15,5/31/15,7,25.56,USD,US,,,,,B00CLDQTQ8,70%,Standard,5.35,,,25.56,The River Valley Collection Boxed Set,Tess Thompson
KDP,5/1/15,5/31/15,4,24,USD,US,,,,,B00CNXMNMK,70%,Standard,9.15,,,24,Redesigning Education: Shaping Learning Systems Around the Globe,Innovation Unit for The Global Education Leadersâ€™ Program
KDP,5/1/15,5/31/15,1,1.4,USD,US,,,,,B00CY22D84,35%,Standard,3.99,,,1.4,Riverstar,Tess Thompson
KDP,5/1/15,5/31/15,103,279.9,USD,US,,,,,B00CY22D84,70%,Standard,3.96,,,279.9,Riverstar,Tess Thompson
KDP,5/1/15,5/31/15,5,13.7,USD,US,,,,,B00CY22GOU,70%,Standard,3.99,,,13.7,Seductive Shadows,Marni Mann
KDP,5/1/15,5/31/15,6,8.08852338,USD,US,,,,,B00CY22GOU,N/A,KU/KOLL Units,N/A,,,8.08852338,Seductive Shadows,Marni Mann
KDP,5/1/15,5/31/15,1,1.05,USD,US,,,,,B00D1VWA4O,35%,Standard,2.99,,,1.05,Changeling Eyes,L.A. Catron
KDP,5/1/15,5/31/15,4,2.52,USD,US,,,,,B00D1VWA4O,70%,Standard,2.99,,,2.52,Changeling Eyes,L.A. Catron
KDP,5/1/15,5/31/15,5,10.25,USD,US,,,,,B00DIKHGFQ,70%,Standard,2.99,,,10.25,Godspeed,February Grace
KDP,5/1/15,5/31/15,5,10.2,USD,US,,,,,B00DLTOKYE,70%,Standard,2.99,,,10.2,Fool's Game,Heather Huffman
KDP,5/1/15,5/31/15,1,2.04,USD,US,,,,,B00DZTZGEI,70%,Standard,2.99,,,2.04,Forecast,Elise Stephens
KDP,5/1/15,5/31/15,1,0.29,USD,US,,,,,B00E220RAK,35%,Standard,0.83,,,0.29,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto
KDP,5/1/15,5/31/15,301,0,USD,US,,,,,B00E220RAK,N/A,Free - Price Match,0.99,,,0,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto
KDP,5/1/15,5/31/15,2,5.46,USD,US,,,,,B00E67MB5A,70%,Standard,3.99,,,5.46,The Summer of Long Knives,Jim Snowden
KDP,5/1/15,5/31/15,4,13.24,USD,US,,,,,B00E8OP022,70%,Standard,4.99,,,13.24,Behind the Shades: Hope Beyond the Darkness,Sheila Raye Charles
KDP,5/1/15,5/31/15,3,8.22,USD,US,,,,,B00E8OQ9R2,70%,Standard,3.99,,,8.22,Seductive Secrecy,Marni Mann
KDP,5/1/15,5/31/15,2,2.69617446,USD,US,,,,,B00E8OQ9R2,N/A,KU/KOLL Units,N/A,,,2.69617446,Seductive Secrecy,Marni Mann
