Source Table Name,Start Date,End Date,Quantity,Royalty,Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author
KDP,7/1/15,7/31/15,5303,30.64689446,USD,US,,,,,B008RSGGMI,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,30.65,Joe Vampire,Steven Luna
KDP,7/1/15,7/31/15,786,4.54242109,USD,US,,,,,B008V3W0HY,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,4.54,Strategic Sales Presentations,Jack Malcolm
KDP,7/1/15,7/31/15,1,2.74,USD,US,,,,,B009177NKI,70%,Standard,3.99,,,2.74,The Chosen,Shay West
KDP,7/1/15,7/31/15,1,2.04,USD,US,,,,,B009D6JCWO,70%,Standard,2.99,,,2.04,Always and Forever,Karla J. Nellenbach
KDP,7/1/15,7/31/15,1,2.73,USD,US,,,,,B009PG36DI,70%,Standard,3.99,,,2.73,Billy Purgatory and the Curse of the Satanic Five,Jesse James Freeman
KDP,7/1/15,7/31/15,2,4.08,USD,US,,,,,B009RV2402,70%,Standard,2.99,,,4.08,Summer Melody,Toddie Downs
KDP,7/1/15,7/31/15,3,10.32,USD,US,,,,,B009WYLJ3W,70%,Standard,4.99,,,10.32,The Dead Boy's Legacy,Cassius Shuman
KDP,7/1/15,7/31/15,1,2.74,USD,US,,,,,B009YN22GE,70%,Standard,3.99,,,2.74,Scars from a Memoir (Young Adult Edition),Marni Mann
KDP,7/1/15,7/31/15,2,4.01,USD,US,,,,,B00AAMJOR8,35%,Standard,5.73,,,4.01,Ink Spots,Brian McDonald
KDP,7/1/15,7/31/15,8,41.92,USD,US,,,,,B00AAMJOR8,70%,Standard,7.63,,,41.92,Ink Spots,Brian McDonald
KDP,7/1/15,7/31/15,7,47.11,USD,US,,,,,B00AFJGMYO,70%,Standard,9.95,,,47.11,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman
KDP,7/1/15,7/31/15,1,0,USD,US,,,,,B00AFJGMYO,70% - promo,Kindle MatchBook,9.95,,,0.00,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman
KDP,7/1/15,7/31/15,5,13.3,USD,US,,,,,B00ATIK0WG,70%,Standard,4.99,,,13.30,Princesses can be Pirates Too!,Christi Zellerhoff
KDP,7/1/15,7/31/15,1,3.97,USD,US,,,,,B00AV877N4,70%,Standard,5.99,,,3.97,Fiery Hearts Collection,Heather Huffman
KDP,7/1/15,7/31/15,1,3.15,USD,US,,,,,B00AVNS9S6,35%,Standard,8.99,,,3.15,The Art of Selling Real Estate,Patricia Cliff
KDP,7/1/15,7/31/15,13,80,USD,US,,,,,B00AVNS9S6,70%,Standard,8.87,,,80.00,The Art of Selling Real Estate,Patricia Cliff
KDP,7/1/15,7/31/15,2,6.76,USD,US,,,,,B00AZM9KIQ,70%,Standard,4.99,,,6.76,Let the Dogs Speak! Puppies in Training Tell the Story of Canine Companions for IndependenceÂ®,Marianne McKiernan
KDP,7/1/15,7/31/15,1,1.05,USD,US,,,,,B00B2DTDLG,35%,Standard,2.99,,,1.05,Freeman - A Novella in Screenplay Form,Brian McDonald
KDP,7/1/15,7/31/15,2,4.12,USD,US,,,,,B00B2DTDLG,70%,Standard,2.99,,,4.12,Freeman - A Novella in Screenplay Form,Brian McDonald
KDP,7/1/15,7/31/15,1,0,USD,US,,,,,B00B2DTDLG,70% - promo,Kindle MatchBook,2.99,,,0.00,Freeman - A Novella in Screenplay Form,Brian McDonald
KDP,7/1/15,7/31/15,5,10.2,USD,US,,,,,B00B7OVK9I,70%,Standard,2.99,,,10.20,Joe Vampire: The Afterlife,Steven Luna
KDP,7/1/15,7/31/15,2389,13.80641727,USD,US,,,,,B00B7OVK9I,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,13.81,Joe Vampire: The Afterlife,Steven Luna
KDP,7/1/15,7/31/15,1,0.95,USD,US,,,,,B00B8XY8FG,35%,Standard,2.72,,,0.95,Roses in Ecuador,Heather Huffman
KDP,7/1/15,7/31/15,6,12.35,USD,US,,,,,B00B8XY8FG,70%,Standard,3,,,12.35,Roses in Ecuador,Heather Huffman
KDP,7/1/15,7/31/15,6,12.24,USD,US,,,,,B00BD9HLAY,70%,Standard,2.99,,,12.24,The Romance of Grace,Jim McNeely III
KDP,7/1/15,7/31/15,1,0,USD,US,,,,,B00BD9HLAY,70% - promo,Kindle MatchBook,2.99,,,0.00,The Romance of Grace,Jim McNeely III
KDP,7/1/15,7/31/15,1,4.82,USD,US,,,,,B00BLS5E2Y,70%,Standard,6.99,,,4.82,The Water Sign,C.S. Samulski
KDP,7/1/15,7/31/15,2,4.12,USD,US,,,,,B00BLTV08U,70%,Standard,2.99,,,4.12,"I Kidnap Girls: Stealing from traffickers, restoring their victims",Pamela Ravan-Pyne
KDP,7/1/15,7/31/15,3,15.83,USD,US,,,,,B00BPD5M8G,70%,Standard,7.58,,,15.83,Write Within Yourself: An Author's Companion,William Kenower
KDP,7/1/15,7/31/15,2,2.1,USD,US,,,,,B00BR1L8I4,35%,Standard,2.99,,,2.10,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood
KDP,7/1/15,7/31/15,2,4.08,USD,US,,,,,B00BR1L8I4,70%,Standard,2.99,,,4.08,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood
KDP,7/1/15,7/31/15,1,2.05,USD,US,,,,,B00C1JN6D6,70%,Standard,2.99,,,2.05,A Sliver of Hope,Karla J. Nellenbach
KDP,7/1/15,7/31/15,1,2.73,USD,US,,,,,B00CLCUGC2,70%,Standard,3.99,,,2.73,Shattered Destiny (Book Two of The Portals of Destiny),Shay West
KDP,7/1/15,7/31/15,1,1.4,USD,US,,,,,B00CLDQT2W,35%,Standard,3.99,,,1.40,Riverbend,Tess Thompson
KDP,7/1/15,7/31/15,126,342.53,USD,US,,,,,B00CLDQT2W,70%,Standard,3.96,,,342.53,Riverbend,Tess Thompson
KDP,7/1/15,7/31/15,10,36.67,USD,US,,,,,B00CLDQTQ8,70%,Standard,5.37,,,36.67,The River Valley Collection Boxed Set,Tess Thompson
KDP,7/1/15,7/31/15,2,10.14,USD,US,,,,,B00CNXMNMK,70%,Standard,7.81,,,10.14,Redesigning Education: Shaping Learning Systems Around the Globe,Innovation Unit for The Global Education Leadersâ€™ Program
KDP,7/1/15,7/31/15,171,59.84,USD,US,,,,,B00CUETVF4,35%,Standard,0.99,,,59.84,Charis: Journey to Pandora's Jar,Nicole Y. Walters
KDP,7/1/15,7/31/15,7,13.93,USD,US,,,,,B00CUETVF4,70%,Standard,2.99,,,13.93,Charis: Journey to Pandora's Jar,Nicole Y. Walters
KDP,7/1/15,7/31/15,1,1.4,USD,US,,,,,B00CY22D84,35%,Standard,3.99,,,1.40,Riverstar,Tess Thompson
KDP,7/1/15,7/31/15,111,302.93,USD,US,,,,,B00CY22D84,70%,Standard,3.97,,,302.93,Riverstar,Tess Thompson
KDP,7/1/15,7/31/15,3,8.22,USD,US,,,,,B00CY22GOU,70%,Standard,3.99,,,8.22,Seductive Shadows,Marni Mann
KDP,7/1/15,7/31/15,2559,14.78887477,USD,US,,,,,B00CY22GOU,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,14.79,Seductive Shadows,Marni Mann
KDP,7/1/15,7/31/15,1,1.05,USD,US,,,,,B00D1VWA4O,35%,Standard,2.99,,,1.05,Changeling Eyes,L.A. Catron
KDP,7/1/15,7/31/15,6,3.72,USD,US,,,,,B00D1VWA4O,70%,Standard,2.99,,,3.72,Changeling Eyes,L.A. Catron
KDP,7/1/15,7/31/15,1,0.28,USD,US,,,,,B00D6K3W2Y,35%,Standard,0.81,,,0.28,The Button Legacy,Ginger Marcinkowski
KDP,7/1/15,7/31/15,1,2.05,USD,US,,,,,B00D8GWS80,70%,Standard,2.99,,,2.05,Unsettled Spirits,Sophie Weeks
KDP,7/1/15,7/31/15,39,0.2253873,USD,US,,,,,B00D8GWS80,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,0.23,Unsettled Spirits,Sophie Weeks
KDP,7/1/15,7/31/15,2,4.1,USD,US,,,,,B00DIKHGFQ,70%,Standard,2.99,,,4.10,Godspeed,February Grace
KDP,7/1/15,7/31/15,1,1.05,USD,US,,,,,B00DLTOKYE,35%,Standard,2.99,,,1.05,Fool's Game,Heather Huffman
KDP,7/1/15,7/31/15,8,16.37,USD,US,,,,,B00DLTOKYE,70%,Standard,3,,,16.37,Fool's Game,Heather Huffman
KDP,7/1/15,7/31/15,1,3.87,USD,US,,,,,B00DYAPJ2C,70%,Standard,5.99,,,3.87,Timothy: A Little Fish with a Big Purpose!`,Brad Riley
KDP,7/1/15,7/31/15,1,0.00577916,USD,US,,,,,B00DYAPJ2C,N/A,Kindle Edition Normalized Pages (KENP) Read,N/A,,,0.01,Timothy: A Little Fish with a Big Purpose!`,Brad Riley
KDP,7/1/15,7/31/15,1,3.42,USD,US,,,,,B00E0NIHBM,70%,Standard,4.99,,,3.42,Dead of Knight,Nicole J. Persun
