Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,7/1/15,7/31/15,4,5.25,USD,Australia,,,,,B00OA9GDDK,,KINDLE,,,,5.25,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDDK,,KINDLE,,,,3.1830732,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KU,,,,1.5915366,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KOLL,,,,1.5915366,Will North,The Long Walk Home
Encore,7/1/15,7/31/15,1,1,USD,United States,,,,,B004WDRYVE,,KU,,,,1,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,18,15.17,EUR,Germany,,,,,B004WDRYVE,,KOLL,,,,16.6147908,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,74,62.37,EUR,Germany,,,,,B004WDRYVE,,KU,,,,68.3101188,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,45,37.93,EUR,Germany,,,,,B004WDRYVE,,KINDLE,,,,41.5424532,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,1,0.89,EUR,France,,,,,B004WDRYVE,,KOLL,,,,0.9747636,Tess Thompson,Riversong
Encore,7/1/15,7/31/15,3,4.19,USD,United States,,,,,B00OA9GFPQ,,KOLL,,,,4.19,Gale Martin,Grace Unexpected
Encore,7/1/15,7/31/15,61,85.19,USD,United States,,,,,B00OA9GFPQ,,KU,,,,85.19,Gale Martin,Grace Unexpected
Encore,7/1/15,7/31/15,16,22.34,USD,United States,,,,,B00OA9GFPQ,,KINDLE,,,,22.34,Gale Martin,Grace Unexpected
Encore,7/1/15,7/31/15,7,9.7,USD,United States,,,,,B00OA9GDGM,,KOLL,,,,9.7,Mike McNeff,GOTU
Encore,7/1/15,7/31/15,26,36.03,USD,United States,,,,,B00OA9GDGM,,KINDLE,,,,36.03,Mike McNeff,GOTU
Encore,7/1/15,7/31/15,21,29.1,USD,United States,,,,,B00OA9GDGM,,KU,,,,29.1,Mike McNeff,GOTU
Encore,7/1/15,7/31/15,3,1.28,GBP,United Kingdom,,,,,B00OA9GDGM,,KU,,,,1.9972224,Mike McNeff,GOTU
Encore,7/1/15,7/31/15,36,15.32,GBP,United Kingdom,,,,,B00OA9GDGM,,KINDLE,,,,23.9042556,Mike McNeff,GOTU
Encore,7/1/15,7/31/15,18,25.14,USD,United States,,,,,B00OA9GDEO,,KU,,,,25.14,Mike McNeff,Necessary Retribution
Encore,7/1/15,7/31/15,10,13.96,USD,United States,,,,,B00OA9GDEO,,KINDLE,,,,13.96,Mike McNeff,Necessary Retribution
Encore,7/1/15,7/31/15,2,2.79,USD,United States,,,,,B00OA9GDEO,,KOLL,,,,2.79,Mike McNeff,Necessary Retribution
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDEO,,KU,,,,3.1830732,Mike McNeff,Necessary Retribution
Encore,7/1/15,7/31/15,7,7.13,GBP,United Kingdom,,,,,B00OA9GDEO,,KINDLE,,,,11.1251529,Mike McNeff,Necessary Retribution
Encore,7/1/15,7/31/15,7,9.18,USD,United States,,,,,B00OA9GE34,,KU,,,,9.18,Tamsen Schultz,The Puppeteer
Encore,7/1/15,7/31/15,2,2.62,USD,United States,,,,,B00OA9GE34,,KINDLE,,,,2.62,Tamsen Schultz,The Puppeteer
Encore,7/1/15,7/31/15,1,1.32,USD,Australia,,,,,B00OA9GE34,,KINDLE,,,,1.32,Tamsen Schultz,The Puppeteer
Encore,7/1/15,7/31/15,3,4.02,USD,United States,,,,,B00OA9GDYY,,KINDLE,,,,4.02,Tamsen Schultz,A Tainted Mind
Encore,7/1/15,7/31/15,7,9.38,USD,United States,,,,,B00OA9GDYY,,KU,,,,9.38,Tamsen Schultz,A Tainted Mind
Encore,7/1/15,7/31/15,3,4.02,USD,United States,,,,,B00OA9GDYY,,KOLL,,,,4.02,Tamsen Schultz,A Tainted Mind
Encore,7/1/15,7/31/15,1,1.31,USD,Australia,,,,,B00OA9GDYY,,KINDLE,,,,1.31,Tamsen Schultz,A Tainted Mind
Encore,7/1/15,7/31/15,3,3.86,USD,United States,,,,,B00OA9GDWG,,KOLL,,,,3.86,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,14,18,USD,United States,,,,,B00OA9GDWG,,KINDLE,,,,18,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,34,43.71,USD,United States,,,,,B00OA9GDWG,,KU,,,,43.71,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,2,2.58,USD,Canada,,,,,B00OA9GDWG,,KU,,,,2.58,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,0,0,USD,Canada,,,,,B00OA9GDWG,,KINDLE,,,,0,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,1,1.31,USD,Australia,,,,,B00OA9GDWG,,KINDLE,,,,1.31,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GDWG,,KOLL,,,,3.1830732,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,5,5.09,GBP,United Kingdom,,,,,B00OA9GDWG,,KINDLE,,,,7.9420797,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,11,11.2,GBP,United Kingdom,,,,,B00OA9GDWG,,KU,,,,17.475696,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,1,1.02,EUR,Germany,,,,,B00OA9GDWG,,KINDLE,,,,1.1171448,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,1,1.19,EUR,France,,,,,B00OA9GDWG,,KU,,,,1.3033356,A.J. Aalto,Touched
Encore,7/1/15,7/31/15,14,18.93,USD,United States,,,,,B00OA9GE3E,,KOLL,,,,18.93,Tess Thompson,Caramel and Magnolias
Encore,7/1/15,7/31/15,102,137.96,USD,United States,,,,,B00OA9GE3E,,KINDLE,,,,137.96,Tess Thompson,Caramel and Magnolias
Encore,7/1/15,7/31/15,231,312.44,USD,United States,,,,,B00OA9GE3E,,KU,,,,312.44,Tess Thompson,Caramel and Magnolias
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GE3E,,KU,,,,1.5915366,Tess Thompson,Caramel and Magnolias
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GE3E,,KINDLE,,,,1.5915366,Tess Thompson,Caramel and Magnolias
Encore,7/1/15,7/31/15,5,6.46,USD,United States,,,,,B00TG14YPQ,,KOLL,,,,6.46,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,7/1/15,7/31/15,20,25.83,USD,United States,,,,,B00TG14YPQ,,KINDLE,,,,25.83,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,7/1/15,7/31/15,60,77.49,USD,United States,,,,,B00TG14YPQ,,KU,,,,77.49,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,7/1/15,7/31/15,2,2.04,GBP,United Kingdom,,,,,B00TG14YPQ,,KINDLE,,,,3.1830732,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,7/1/15,7/31/15,112,156.41,USD,United States,,,,,B00TG14YOW,,KU,,,,156.41,Jennifer Gracen,Autumn Getaway
Encore,7/1/15,7/31/15,3,4.19,USD,United States,,,,,B00TG14YOW,,KOLL,,,,4.19,Jennifer Gracen,Autumn Getaway
Encore,7/1/15,7/31/15,37,51.67,USD,United States,,,,,B00TG14YOW,,KINDLE,,,,51.67,Jennifer Gracen,Autumn Getaway
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YOW,,KINDLE,,,,1.5915366,Jennifer Gracen,Autumn Getaway
Encore,7/1/15,7/31/15,1,1.02,GBP,United Kingdom,,,,,B00TG14YOW,,KU,,,,1.5915366,Jennifer Gracen,Autumn Getaway
Encore,7/1/15,7/31/15,7,6.98,USD,United States,,,,,B00U9WWUAC,,KINDLE,,,,6.98,Heather Huffman,Waiting for You
Encore,7/1/15,7/31/15,1,1,USD,United States,,,,,B00U9WWUAC,,KOLL,,,,1,Heather Huffman,Waiting for You
Encore,7/1/15,7/31/15,9,8.97,USD,United States,,,,,B00U9WWUAC,,KU,,,,8.97,Heather Huffman,Waiting for You
Encore,7/1/15,7/31/15,1,0.7,USD,United States,,,,,B00U9WWU84,,KU,,,,0.7,Arleen Williams,Running Secrets
Encore,7/1/15,7/31/15,1,1.28,USD,United States,,,,,B00U9WWU8Y,,KOLL,,,,1.28,Ina Zajac,"Please, Pretty Lights"
Encore,7/1/15,7/31/15,1,1.28,USD,United States,,,,,B00U9WWU8Y,,KU,,,,1.28,Ina Zajac,"Please, Pretty Lights"
