Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint,Sale Date
KDP,8/1/15,8/31/15,61,163.2,USD,US,,,,,B008RDGGNM,70%,Standard,3.9,,, 163.20 ,Scars from a Memoir,Marni Mann,,
KDP,8/1/15,8/31/15,2,4.08,USD,US,,,,,B008RH5IUK,70%,Standard,2.99,,, 4.08 ,"Run, River Currents",Ginger Marcinkowski,,
KDP,8/1/15,8/31/15,2,1.4,USD,US,,,,,B008RSGGMI,35%,Standard,1.99,,, 1.40 ,Joe Vampire,Steven Luna,,
KDP,8/1/15,8/31/15,1163,5.97771241,USD,US,,,,,B008RSGGMI,,Kindle Edition Normalized Pages (KENP) Read,,,, 5.98 ,Joe Vampire,Steven Luna,,
KDP,8/1/15,8/31/15,1,6.82,USD,US,,,,,B008V3W0HY,70%,Standard,9.99,,, 6.82 ,Strategic Sales Presentations,Jack Malcolm,,
KDP,8/1/15,8/31/15,191,0.98172234,USD,US,,,,,B008V3W0HY,,Kindle Edition Normalized Pages (KENP) Read,,,, 0.98 ,Strategic Sales Presentations,Jack Malcolm,,
KDP,8/1/15,8/31/15,1,0,USD,US,,,,,B009CICRGG,70% - promo,Kindle MatchBook,2.99,,, -   ,Making Hay,Diana McLellan,,
KDP,8/1/15,8/31/15,1,2.04,USD,US,,,,,B009D6JCWO,70%,Standard,2.99,,, 2.04 ,Always and Forever,Karla J. Nellenbach,,
KDP,8/1/15,8/31/15,3,6.12,USD,US,,,,,B009RV2402,70%,Standard,2.99,,, 6.12 ,Summer Melody,Toddie Downs,,
KDP,8/1/15,8/31/15,1,3.44,USD,US,,,,,B009WYLJ3W,70%,Standard,4.99,,, 3.44 ,The Dead Boy's Legacy,Cassius Shuman,,
KDP,8/1/15,8/31/15,2,5.48,USD,US,,,,,B009YN22GE,70%,Standard,3.99,,, 5.48 ,Scars from a Memoir (Young Adult Edition),Marni Mann,,
KDP,8/1/15,8/31/15,1,2.78,USD,US,,,,,B00AAMJOR8,35%,Standard,7.95,,, 2.78 ,Ink Spots,Brian McDonald,,
KDP,8/1/15,8/31/15,6,33.12,USD,US,,,,,B00AAMJOR8,70%,Standard,7.95,,, 33.12 ,Ink Spots,Brian McDonald,,
KDP,8/1/15,8/31/15,1,0,USD,US,,,,,B00AAMJOR8,70% - promo,Kindle MatchBook,7.95,,, -   ,Ink Spots,Brian McDonald,,
KDP,8/1/15,8/31/15,4,26.92,USD,US,,,,,B00AFJGMYO,70%,Standard,9.95,,, 26.92 ,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman,,
KDP,8/1/15,8/31/15,1,1.75,USD,US,,,,,B00ATIK0WG,35%,Standard,4.99,,, 1.75 ,Princesses can be Pirates Too!,Christi Zellerhoff,,
KDP,8/1/15,8/31/15,6,15.32,USD,US,,,,,B00ATIK0WG,70%,Standard,4.84,,, 15.32 ,Princesses can be Pirates Too!,Christi Zellerhoff,,
KDP,8/1/15,8/31/15,1,3.97,USD,US,,,,,B00AV877N4,70%,Standard,5.99,,, 3.97 ,Fiery Hearts Collection,Heather Huffman,,
KDP,8/1/15,8/31/15,11,67.3,USD,US,,,,,B00AVNS9S6,70%,Standard,8.8,,, 67.30 ,The Art of Selling Real Estate,Patricia Cliff,,
KDP,8/1/15,8/31/15,2,0,USD,US,,,,,B00AVNS9S6,70% - promo,Kindle MatchBook,8.99,,, -   ,The Art of Selling Real Estate,Patricia Cliff,,
KDP,8/1/15,8/31/15,4,8.24,USD,US,,,,,B00B2DTDLG,70%,Standard,2.99,,, 8.24 ,Freeman - A Novella in Screenplay Form,Brian McDonald,,
KDP,8/1/15,8/31/15,1,2.04,USD,US,,,,,B00B7OVK9I,70%,Standard,2.99,,, 2.04 ,Joe Vampire: The Afterlife,Steven Luna,,
KDP,8/1/15,8/31/15,364,1.87092634,USD,US,,,,,B00B7OVK9I,,Kindle Edition Normalized Pages (KENP) Read,,,, 1.87 ,Joe Vampire: The Afterlife,Steven Luna,,
KDP,8/1/15,8/31/15,1,2.05,USD,US,,,,,B00B8XY8FG,70%,Standard,2.99,,, 2.05 ,Roses in Ecuador,Heather Huffman,,
KDP,8/1/15,8/31/15,1,1.05,USD,US,,,,,B00BD9HLAY,35%,Standard,2.99,,, 1.05 ,The Romance of Grace,Jim McNeely III,,
KDP,8/1/15,8/31/15,1,2.04,USD,US,,,,,B00BD9HLAY,70%,Standard,2.99,,, 2.04 ,The Romance of Grace,Jim McNeely III,,
KDP,8/1/15,8/31/15,2,9.64,USD,US,,,,,B00BLS5E2Y,70%,Standard,6.99,,, 9.64 ,The Water Sign,C.S. Samulski,,
KDP,8/1/15,8/31/15,1,5.54,USD,US,,,,,B00BPD5M8G,70%,Standard,7.95,,, 5.54 ,Write Within Yourself: An Author's Companion,William Kenower,,
KDP,8/1/15,8/31/15,5,10.2,USD,US,,,,,B00BR1L8I4,70%,Standard,2.99,,, 10.20 ,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood,,
KDP,8/1/15,8/31/15,1,2.07,USD,US,,,,,B00CBHVBNU,70%,Standard,2.99,,, 2.07 ,Haunted,Eileen Maksym,,
KDP,8/1/15,8/31/15,7,23.19,USD,US,,,,,B00CHO4AW6,70%,Standard,4.88,,, 23.19 ,Suitcase Filled with Nails: Lessons Learned from Teaching Art in Kuwait,Yvonne Wakefield,,
KDP,8/1/15,8/31/15,1,1.4,USD,US,,,,,B00CLDQT2W,35%,Standard,3.99,,, 1.40 ,Riverbend,Tess Thompson,,
KDP,8/1/15,8/31/15,103,279.84,USD,US,,,,,B00CLDQT2W,70%,Standard,3.95,,, 279.84 ,Riverbend,Tess Thompson,,
KDP,8/1/15,8/31/15,8,29.13,USD,US,,,,,B00CLDQTQ8,70%,Standard,5.34,,, 29.13 ,The River Valley Collection Boxed Set,Tess Thompson,,
KDP,8/1/15,8/31/15,5,9.76,USD,US,,,,,B00CUETVF4,70%,Standard,2.94,,, 9.76 ,Charis: Journey to Pandora's Jar,Nicole Y. Walters,,
KDP,8/1/15,8/31/15,1,1.4,USD,US,,,,,B00CY22D84,35%,Standard,3.99,,, 1.40 ,Riverstar,Tess Thompson,,
KDP,8/1/15,8/31/15,91,246.98,USD,US,,,,,B00CY22D84,70%,Standard,3.96,,, 246.98 ,Riverstar,Tess Thompson,,
KDP,8/1/15,8/31/15,2,5.48,USD,US,,,,,B00CY22GOU,70%,Standard,3.99,,, 5.48 ,Seductive Shadows,Marni Mann,,
KDP,8/1/15,8/31/15,2831,14.55107816,USD,US,,,,,B00CY22GOU,,Kindle Edition Normalized Pages (KENP) Read,,,, 14.55 ,Seductive Shadows,Marni Mann,,
KDP,8/1/15,8/31/15,2,1.24,USD,US,,,,,B00D1VWA4O,70%,Standard,2.99,,, 1.24 ,Changeling Eyes,L.A. Catron,,
KDP,8/1/15,8/31/15,3,1.05,USD,US,,,,,B00D6K3W2Y,35%,Standard,0.99,,, 1.05 ,The Button Legacy,Ginger Marcinkowski,,
KDP,8/1/15,8/31/15,3,6.15,USD,US,,,,,B00D8GWS80,70%,Standard,2.99,,, 6.15 ,Unsettled Spirits,Sophie Weeks,,
KDP,8/1/15,8/31/15,703,3.61335499,USD,US,,,,,B00D8GWS80,,Kindle Edition Normalized Pages (KENP) Read,,,, 3.61 ,Unsettled Spirits,Sophie Weeks,,
KDP,8/1/15,8/31/15,2,4.1,USD,US,,,,,B00DIKHGFQ,70%,Standard,2.99,,, 4.10 ,Godspeed,February Grace,,
KDP,8/1/15,8/31/15,1,0.00513991,USD,US,,,,,B00DYAPJ2C,,Kindle Edition Normalized Pages (KENP) Read,,,, 0.01 ,Timothy: A Little Fish with a Big Purpose!`,Brad Riley,,
KDP,8/1/15,8/31/15,100,0,USD,US,,,,,B00E220RAK,,Free - Price Match,0.99,,, -   ,"Cold Company (A Marnie Baranuik ""Between the Files"" Story)",A.J. Aalto,,
KDP,8/1/15,8/31/15,2,5.46,USD,US,,,,,B00E67MB5A,70%,Standard,3.99,,, 5.46 ,The Summer of Long Knives,Jim Snowden,,
KDP,8/1/15,8/31/15,1,2.75,USD,US,,,,,B00E8M1UDM,70%,Standard,3.99,,, 2.75 ,Flipka,JT Twissel,,
KDP,8/1/15,8/31/15,5,16.55,USD,US,,,,,B00E8OP022,70%,Standard,4.99,,, 16.55 ,Behind the Shades: Hope Beyond the Darkness,Sheila Raye Charles,,
KDP,8/1/15,8/31/15,1,2.74,USD,US,,,,,B00E8OQ9R2,70%,Standard,3.99,,, 2.74 ,Seductive Secrecy,Marni Mann,,
KDP,8/1/15,8/31/15,1459,7.49912505,USD,US,,,,,B00E8OQ9R2,,Kindle Edition Normalized Pages (KENP) Read,,,, 7.50 ,Seductive Secrecy,Marni Mann,,
KDP,8/1/15,8/31/15,2165,11.12789972,USD,US,,,,,B00ENIFS8O,,Kindle Edition Normalized Pages (KENP) Read,,,, 11.13 ,Seducer Fey,Cullyn Royson,,
KDP,8/1/15,8/31/15,1,2.49,USD,US,,,,,B00ETBLG9K,70%,Standard,3.67,,, 2.49 ,Josie Jameson and the Fourth Tombstone,Jennifer Hotes,,
KDP,8/1/15,8/31/15,11,0.05653898,USD,US,,,,,B00ETBLG9K,,Kindle Edition Normalized Pages (KENP) Read,,,, 0.06 ,Josie Jameson and the Fourth Tombstone,Jennifer Hotes,,
KDP,8/1/15,8/31/15,8,8.4,USD,US,,,,,B00EYMYBXW,35%,Standard,2.99,,, 8.40 ,Just Friends with Benefits,Meredith Schorr,,
