Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620150443,,542172211,,,,3.99,,,2.8,"Don Juan in Hankey, PA",Gale Martin,
iTunes,6/1/15,6/30/15,1,1.4,USD,US,,9781620157909,,980483809,,,,1.99,,,1.4,Unblocked - Episode Two,Marni Mann,
iTunes,6/1/15,6/30/15,1,2.1,USD,US,,9781620152454,,668503924,,,,2.99,,,2.1,Godspeed,February Grace,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781513700076,,990901165,,,,3.99,,,2.8,"Blood, Spirit & Bone",Camela Thompson,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620155981,,945811863,,,,3.99,,,2.8,Dead Girl Walking,Ruth Silver,
iTunes,6/1/15,6/30/15,4,14,USD,US,,9781620154748,,903086856,,,,4.99,,,14,Dangled Carat,Hilary Grossman,
iTunes,6/1/15,6/30/15,2,5.6,USD,US,,9781620154212,,885177180,,,,3.99,,,5.6,The Lycan Hunter,Kelsey Jordan,
iTunes,6/1/15,6/30/15,1,5.6,USD,US,,9781620154519,,910033626,,,,7.99,,,5.6,My Fluorescent God,Joe Guppy,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620150689,,549635648,,,,3.99,,,2.8,Scars from a Memoir,Marni Mann,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620154502,,894710113,,,,3.99,,,2.8,Winter Hopes,Jennifer Gracen,
iTunes,6/1/15,6/30/15,1,2.1,USD,US,,9781620154557,,930287455,,,,2.99,,,2.1,Heart of a Rocky,Kelsey Jordan,
iTunes,6/1/15,6/30/15,20,56,USD,US,,9781620152690,,719581050,,,,3.99,,,56,The Dark Light of Day,T.M. Frazier,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620159057,,999965266,,,,3.99,,,2.8,Shades of Blue,Dana Tanaro Britt,
iTunes,6/1/15,6/30/15,2,5.6,USD,US,,9781620159194,,980691384,,,,3.99,,,5.6,Kindness Wins,Galit Breen,
iTunes,6/1/15,6/30/15,3,8.4,USD,US,,9781620150337,,491314585,,,,3.99,,,8.4,Memoirs Aren't Fairytales,Marni Mann,
iTunes,6/1/15,6/30/15,-1,-0.7,USD,US,,9781935961321,,499687727,,,,-0.99,,,-0.7,Bottom Line Selling,Jack Malcolm,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620154106,,969740617,,,,4.99,,,3.5,A Decent Woman,Eleanor Parker Sapia,
iTunes,6/1/15,6/30/15,13,27.3,USD,US,,9781620157329,,972960554,,,,2.99,,,27.3,The Daring Assignment,Victoria Bright,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620159842,,1001848997,,,,3.99,,,2.8,The Seduction of Mallory McKenzie,Cassius Shuman,
iTunes,6/1/15,6/30/15,2,1.4,USD,US,,9781620159194,,980691384,,,,0.99,,,1.4,Kindness Wins,Galit Breen,
iTunes,6/1/15,6/30/15,2,5.6,USD,US,,9781620155288,,915125212,,,,3.99,,,5.6,Saving Jason,EJ Hanagan,
iTunes,6/1/15,6/30/15,3,2.1,USD,US,,9781620157329,,972960554,,,,0.99,,,2.1,The Daring Assignment,Victoria Bright,
iTunes,6/1/15,6/30/15,4,11.2,USD,US,,9781620159712,,991483836,,,,3.99,,,11.2,The Broken Road,Melissa Huie,
iTunes,6/1/15,6/30/15,7,14.7,USD,US,,9781620150382,,481266197,,,,2.99,,,14.7,Ties that Bind,Heather Huffman,
iTunes,6/1/15,6/30/15,233,163.1,USD,US,,9781620156711,,963252857,,,,0.99,,,163.1,The Duke I‰Ûªm Going to Marry,Meara Platt,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620156117,,930966919,,,,3.99,,,2.8,The Old Cape Teapot,Barbara Eppich Struna,
iTunes,6/1/15,6/30/15,1,2.8,USD,US,,9781620155240,,1002235249,,,,3.99,,,2.8,First of Spring,Kelsey Jordan,
iTunes,6/1/15,6/30/15,1,3.5,USD,US,,9781620157404,,968068713,,,,4.99,,,3.5,Duet for Three Hands,Tess Thompson,
iTunes,6/1/15,6/30/15,2,4.2,USD,US,,9781620152546,,709567734,,,,2.99,,,4.2,Just Friends With Benefits,Meredith Schorr,
