Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Revenue [USD],Unit revenue,Title,Author,Imprints
Scribd,4/1/15,4/30/15,,2,usd,United States,,9781620150054,,,,,,3.99,,2,,The Golden Theme,Brian McDonald,Booktrope Publishing
Scribd,4/1/15,4/30/15,,1.5,usd,Canada,,9781620151037,,,,,,2.99,,1.5,,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood,Booktrope Publishing
Scribd,4/1/15,4/30/15,,1.5,usd,Canada,,9781620150337,,,,,,2.99,,1.5,,Memoirs Aren't Fairytales: A Story of Addiction,Marni Mann,Booktrope Publishing
Scribd,4/1/15,4/30/15,,1.45,usd,Canada,,9781620150191,,,,,,2.9,,1.45,,Riversong,,
Scribd,4/1/15,4/30/15,,1.5,usd,United States,,9781620151228,,,,,,2.99,,1.5,,A Sliver of Hope,Karla J. Nellenbach,Booktrope Publishing
Scribd,3/1/15,3/31/15,,2.5,usd,United States,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,3/1/15,3/31/15,,2.5,usd,Sweden,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,3/1/15,3/31/15,,2.5,usd,United States,,9781620150016,,,,,,4.99,,2.5,,Invisible Ink,Brian McDonald,Booktrope Publishing
Scribd,3/1/15,3/31/15,,1.5,usd,Germany,,9781620150535,,,,,,2.99,,1.5,,"I Kidnap Girls: Stealing from Traffickers, Restoring their Victims",Iana Matei; Pamela Ravan-Pyne; Iana Mattei and Pamela Ravan-Pyne,Booktrope Publishing
Scribd,3/1/15,3/31/15,,1.5,usd,United States,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,3/1/15,3/31/15,,1.5,usd,United States,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,Booktrope Publishing
Scribd,3/1/15,3/31/15,,2,usd,Sweden,,9781620150054,,,,,,3.99,,2,,The Golden Theme,Brian McDonald,Booktrope Publishing
Scribd,3/1/15,3/31/15,,1.5,usd,United States,,9781620151037,,,,,,2.99,,1.5,,Dizzy in Karachi: A Journey to Pakistan,Maliha Masood,Booktrope Publishing
