Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Revenue [USD],Unit revenue,Title,Author,Imprints
Scribd,9/1/14,9/30/14,,1.5,usd,United Kingdom,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,Indonesia,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,India,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,Philippines,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,United Kingdom,,9781620150405,,,,,,2.99,,1.5,,The Dirt,Lori Cullwell; Lori Culwell,
Scribd,9/1/14,9/30/14,,1.5,usd,Canada,,9781620150535,,,,,,2.99,,1.5,,"I Kidnap Girls: Stealing from Traffickers, Restoring their Victims",Iana Matei; Pamela Ravan-Pyne; Iana Mattei and Pamela Ravan-Pyne,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,
Scribd,9/1/14,9/30/14,,1.5,usd,Canada,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,
Scribd,9/1/14,9/30/14,,1.5,usd,Canada,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,
Scribd,9/1/14,9/30/14,,1.5,usd,United Kingdom,,9781620150542,,,,,,2.99,,1.5,,Revision 7: DNA,Terry Persun,
Scribd,9/1/14,9/30/14,,1.5,usd,Canada,,9781620151044,,,,,,2.99,,1.5,,Doublesight,Terry Persun,
Scribd,9/1/14,9/30/14,,4.98,usd,United States,,9781620150955,,,,,,9.94,,4.98,,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman,
Scribd,9/1/14,9/30/14,,4.98,usd,United States,,9781620150955,,,,,,9.94,,4.98,,The Art of Grant Writing: Communicating Your Vision to Funders,Sharon Charnell Gherman,
Scribd,9/1/14,9/30/14,,2,usd,Israel,,9781620151006,,,,,,3.99,,2,,Death Rejoices - The Marnie Baranuik Files,A. J. Aalto,
Scribd,9/1/14,9/30/14,,1.48,usd,Australia,,9781620151075,,,,,,2.95,,1.48,,The Collection,T. K. Lasser,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620152416,,,,,,2.99,,1.5,,Seductive Shadows,Marni Mann,
Scribd,9/1/14,9/30/14,,1.5,usd,United States,,9781620152416,,,,,,2.99,,1.5,,Seductive Shadows,Marni Mann,
