Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,Type,List Price [multi-ccy],ISBN Hardcover (use),Unit Revenue,Revenue [USD],Author,Title
Encore,5/1/15,5/31/15,2,2.83,USD,Canada,,,,,B00OA9GDDK,,KU,,,,2.83,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,6,8.08,USD,Australia,,,,,B00OA9GDDK,,KINDLE,,,,8.08,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,4,4.07,GBP,United Kingdom,,,,,B00OA9GDDK,,KINDLE,,,,6.2203845,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDDK,,KOLL,,,,1.558917,Will North,The Long Walk Home
Encore,5/1/15,5/31/15,1,0.97,USD,Mexico,,,,,B004WDRYVE,,KU,,,,0.97,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,1,0.93,EUR,Italy,,,,,B004WDRYVE,,KINDLE,,,,1.0218654,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,343,165.8,EUR,Germany,,,,,B004WDRYVE,,KU,,,,182.177724,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,1140,551.05,EUR,Europe,,,,,B004WDRYVE,,KINDLE,,,,605.482719,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,66,31.9,EUR,Europe,,,,,B004WDRYVE,,KOLL,,,,35.051082,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,1,0.75,EUR,Europe,,,,,B004WDRYVE,,Amazon Website,,,,0.824085,Tess Thompson,Riversong
Encore,5/1/15,5/31/15,90,63.69,USD,United States,,,,,B00OA9GFPQ,,KU,,,,63.69,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,14,9.91,USD,United States,,,,,B00OA9GFPQ,,KOLL,,,,9.91,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,396,280.23,USD,United States,,,,,B00OA9GFPQ,,KINDLE,,,,280.23,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,1,1.41,USD,Canada,,,,,B00OA9GFPQ,,KINDLE,,,,1.41,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,1,1.35,USD,Australia,,,,,B00OA9GFPQ,,KINDLE,,,,1.35,Gale Martin,Grace Unexpected
Encore,5/1/15,5/31/15,8,11.17,USD,United States,,,,,B00OA9GDGM,,KOLL,,,,11.17,Mike McNeff,GOTU
Encore,5/1/15,5/31/15,19,26.53,USD,United States,,,,,B00OA9GDGM,,KINDLE,,,,26.53,Mike McNeff,GOTU
Encore,5/1/15,5/31/15,32,44.69,USD,United States,,,,,B00OA9GDGM,,KU,,,,44.69,Mike McNeff,GOTU
Encore,5/1/15,5/31/15,24,33.56,USD,United States,,,,,B00OA9GDEO,,KU,,,,33.56,Mike McNeff,Necessary Retribution
Encore,5/1/15,5/31/15,24,33.56,USD,United States,,,,,B00OA9GDEO,,KINDLE,,,,33.56,Mike McNeff,Necessary Retribution
Encore,5/1/15,5/31/15,7,9.79,USD,United States,,,,,B00OA9GDEO,,KOLL,,,,9.79,Mike McNeff,Necessary Retribution
Encore,5/1/15,5/31/15,164,136.14,USD,United States,,,,,B00OA9GE34,,KINDLE,,,,136.14,Tamsen Schultz,The Puppeteer
Encore,5/1/15,5/31/15,2,1.66,USD,United States,,,,,B00OA9GE34,,KOLL,,,,1.66,Tamsen Schultz,The Puppeteer
Encore,5/1/15,5/31/15,34,28.22,USD,United States,,,,,B00OA9GE34,,KU,,,,28.22,Tamsen Schultz,The Puppeteer
Encore,5/1/15,5/31/15,1,1.41,USD,Canada,,,,,B00OA9GE34,,KINDLE,,,,1.41,Tamsen Schultz,The Puppeteer
Encore,5/1/15,5/31/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GE34,,KINDLE,,,,3.117834,Tamsen Schultz,The Puppeteer
Encore,5/1/15,5/31/15,2,2.04,GBP,United Kingdom,,,,,B00OA9GE34,,KU,,,,3.117834,Tamsen Schultz,The Puppeteer
Encore,5/1/15,5/31/15,137,111.52,USD,United States,,,,,B00OA9GDYY,,KINDLE,,,,111.52,Tamsen Schultz,A Tainted Mind
Encore,5/1/15,5/31/15,1,0.82,USD,United States,,,,,B00OA9GDYY,,KOLL,,,,0.82,Tamsen Schultz,A Tainted Mind
Encore,5/1/15,5/31/15,20,16.28,USD,United States,,,,,B00OA9GDYY,,KU,,,,16.28,Tamsen Schultz,A Tainted Mind
Encore,5/1/15,5/31/15,1,1.41,USD,Canada,,,,,B00OA9GDYY,,KINDLE,,,,1.41,Tamsen Schultz,A Tainted Mind
Encore,5/1/15,5/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDYY,,KU,,,,1.558917,Tamsen Schultz,A Tainted Mind
Encore,5/1/15,5/31/15,1,1.02,GBP,United Kingdom,,,,,B00OA9GDYY,,KINDLE,,,,1.558917,Tamsen Schultz,A Tainted Mind
Encore,5/1/15,5/31/15,1129,841.66,USD,United States,,,,,B00OA9GDWG,,KINDLE,,,,841.66,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,577,430.15,USD,United States,,,,,B00OA9GDWG,,KU,,,,430.15,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,81,60.39,USD,United States,,,,,B00OA9GDWG,,KOLL,,,,60.39,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,6,4.15,USD,Canada,,,,,B00OA9GDWG,,KINDLE,,,,4.15,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,2,1.32,USD,Brazil,,,,,B00OA9GDWG,,KINDLE,,,,1.32,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,1,0.66,USD,Brazil,,,,,B00OA9GDWG,,KU,,,,0.66,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,5,6.84,USD,Australia,,,,,B00OA9GDWG,,KINDLE,,,,6.84,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,135,117.65,GBP,United Kingdom,,,,,B00OA9GDWG,,KU,,,,179.8103775,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,12,10.46,GBP,United Kingdom,,,,,B00OA9GDWG,,KOLL,,,,15.986541,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,35,30.5,GBP,United Kingdom,,,,,B00OA9GDWG,,KINDLE,,,,46.614675,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,1,1.03,EUR,Germany,,,,,B00OA9GDWG,,KU,,,,1.1317434,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,1,1.19,EUR,France,,,,,B00OA9GDWG,,KINDLE,,,,1.3075482,A.J. Aalto,Touched
Encore,5/1/15,5/31/15,97,125.28,USD,United States,,,,,B00OA9GE3E,,KU,,,,125.28,Tess Thompson,Caramel and Magnolias
Encore,5/1/15,5/31/15,64,82.66,USD,United States,,,,,B00OA9GE3E,,KINDLE,,,,82.66,Tess Thompson,Caramel and Magnolias
Encore,5/1/15,5/31/15,14,18.08,USD,United States,,,,,B00OA9GE3E,,KOLL,,,,18.08,Tess Thompson,Caramel and Magnolias
Encore,5/1/15,5/31/15,2,2.05,EUR,Germany,,,,,B00OA9GE3E,,KU,,,,2.252499,Tess Thompson,Caramel and Magnolias
Encore,5/1/15,5/31/15,1,1.03,EUR,Germany,,,,,B00OA9GE3E,,KINDLE,,,,1.1317434,Tess Thompson,Caramel and Magnolias
Encore,5/1/15,5/31/15,534,389.64,USD,United States,,,,,B00TG14YPQ,,KU,,,,389.64,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,5/1/15,5/31/15,905,660.35,USD,United States,,,,,B00TG14YPQ,,KINDLE,,,,660.35,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,5/1/15,5/31/15,84,61.29,USD,United States,,,,,B00TG14YPQ,,KOLL,,,,61.29,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
Encore,5/1/15,5/31/15,2,1.12,USD,Canada,,,,,B00TG14YPQ,,KINDLE,,,,1.12,"Kay Ellington, Barbara Brannon",The Paragraph Ranch
