Source Table Name,Start Date,End Date,Quantity,Revenue [multi-ccy],Currency (use),Country,BN Identifier,epub ISBN,Paperback ISBN,Apple Identifier,ASIN,KDP - Royalty Type,KDP - Transaction Type,List Price [multi-ccy],ISBN Hardcover (use),Unit revenue,Revenue [USD],Title,Author,Imprint
iTunes,7/1/15,7/31/15,3,8.4,USD,US,,9781620155271,,924190644,,,,3.99,,,8.4,Spring Shadows,Jennifer Gracen,
iTunes,7/1/15,7/31/15,94,65.8,USD,US,,9781620152690,,719581050,,,,0.99,,,65.8,The Dark Light of Day,T.M. Frazier,
iTunes,7/1/15,7/31/15,1,3.5,USD,US,,9781620154106,,969740617,,,,4.99,,,3.5,A Decent Woman,Eleanor Parker Sapia,
iTunes,7/1/15,7/31/15,4,8.4,USD,US,,9781620150573,,595802253,,,,2.99,,,8.4,Roses in Ecuador,Heather Huffman,
iTunes,7/1/15,7/31/15,4,8.4,USD,US,,9781620159194,,980691384,,,,2.99,,,8.4,Kindness Wins,Galit Breen,
iTunes,7/1/15,7/31/15,11,53.9,USD,US,,9781620153093,,904181911,,,,6.99,,,53.9,Harm None,Will North,
iTunes,7/1/15,7/31/15,19,39.9,USD,US,,9781620150344,,485468555,,,,2.99,,,39.9,Jailbird,Heather Huffman,
iTunes,7/1/15,7/31/15,83,58.1,USD,US,,9781620159323,,991124725,,,,0.99,,,58.1,Alien Love,Stan Schatt,
iTunes,7/1/15,7/31/15,1,0.7,USD,US,,9781620156827,,972346248,,,,0.99,,,0.7,Death of a Tango Dancer,Lisa Fernow,
iTunes,7/1/15,7/31/15,2,8.4,USD,US,,9781620159873,,1000255300,,,,5.99,,,8.4,Too Clever By Half,Will North,
iTunes,7/1/15,7/31/15,5,10.5,USD,US,,9781620154700,,894711760,,,,2.99,,,10.5,Blue Midnight,Tess Thompson,
iTunes,7/1/15,7/31/15,2,4.2,USD,US,,9781620159132,,1001845959,,,,2.99,,,4.2,The Right Kind of Love,Kelly Kennedy,
iTunes,7/1/15,7/31/15,1,2.8,USD,US,,9781620156117,,930966919,,,,3.99,,,2.8,The Old Cape Teapot,Barbara Eppich Struna,
iTunes,7/1/15,7/31/15,3,8.4,USD,US,,9781620156087,,947175435,,,,3.99,,,8.4,How Do You Know?,Meredith Schorr,
iTunes,7/1/15,7/31/15,5,10.5,USD,US,,9781935961147,,440610146,,,,2.99,,,10.5,Riversong,Tess Thompson,
iTunes,7/1/15,7/31/15,15,42,USD,US,,9781620155158,,930738587,,,,3.99,,,42,My Fair Lily,Meara Platt,
iTunes,7/1/15,7/31/15,2,5.6,USD,US,,9781620157893,,1018699039,,,,3.99,,,5.6,The Daughters Lem,Nila Aamoth,
iTunes,7/1/15,7/31/15,1,4.2,USD,US,,9781620153949,,840589202,,,,5.99,,,4.2,Unbridled Hearts Collection,Heather Huffman,
iTunes,7/1/15,7/31/15,12,50.4,USD,US,,9781620151273,,591472124,,,,5.99,,,50.4,Fiery Hearts Collection,Heather Huffman,
iTunes,7/1/15,7/31/15,2,5.6,USD,US,,9781620157862,,994422544,,,,3.99,,,5.6,Collide,J.C. Hannigan,
iTunes,7/1/15,7/31/15,20,56,USD,US,,9781620153406,,997651982,,,,3.99,,,56,Rules for Reforming a Rake,Meara Platt,
iTunes,7/1/15,7/31/15,1,4.2,USD,US,,9781620157053,,964404454,,,,5.99,,,4.2,Uncharted Territory,Carolyn Ridder Aspenson,
iTunes,7/1/15,7/31/15,1,0.7,USD,US,,9781620157497,,976346860,,,,0.99,,,0.7,Swings,Corbin Lewars,
iTunes,7/1/15,7/31/15,1,2.8,USD,US,,9781620158159,,991484268,,,,3.99,,,2.8,Stolen Innocence,S.M. Stryker,
iTunes,7/1/15,7/31/15,4,8.4,USD,US,,9781620158197,,1022625256,,,,2.99,,,8.4,This One•À_s For You,Brandy Jellum,
iTunes,7/1/15,7/31/15,1,2.1,USD,US,,9781513700434,,1021452490,,,,2.99,,,2.1,Scandalous Affair,Lucy H. Delaney,
iTunes,7/1/15,7/31/15,1,2.8,USD,US,,9781620159842,,1001848997,,,,3.99,,,2.8,The Seduction of Mallory McKenzie,Cassius Shuman,
iTunes,7/1/15,7/31/15,1,0.7,USD,US,,9781620155660,,927769984,,,,0.99,,,0.7,The Inn at Laurel Creek,Carolyn Ridder Aspenson,
iTunes,7/1/15,7/31/15,1,2.8,USD,US,,9781620156377,,950525657,,,,3.99,,,2.8,Rules for the Perpetual Diet: A Novel,K. S. R. Burns,
iTunes,7/1/15,7/31/15,1,0.7,USD,US,,9781620150832,,657392206,,,,0.99,,,0.7,Changeling Eyes,L.A. Catron,
iTunes,7/1/15,7/31/15,2,7,USD,US,,9781620150801,,573681947,,,,4.99,,,7,The Dead Boy's Legacy,Cassius Shuman,
iTunes,7/1/15,7/31/15,26,54.6,USD,US,,9781513701011,,1012546917,,,,2.99,,,54.6,Falling for Him,Amy Stephens,
iTunes,7/1/15,7/31/15,21,14.7,USD,US,,9781620159293,,980489152,,,,0.99,,,14.7,Sins,Heather Huffman,
iTunes,7/1/15,7/31/15,3,8.4,USD,US,,9781620156834,,961839095,,,,3.99,,,8.4,Summer Champagne,Jennifer Gracen,
iTunes,7/1/15,7/31/15,55,38.5,USD,US,,9781620150467,,517235903,,,,0.99,,,38.5,Tumbleweed,Heather Huffman,
